
DATA_PATH, n, d, k: /home/philipp/data-for-pc-sos-sdp-solver/movement_libras.txt 360 90 15
CONSTRAINTS_PATH: /home/philipp/data-for-pc-sos-sdp-solver/movement_libras_constraints_0.2.txt
LOG_PATH: /home/philipp/data-for-pc-sos-sdp-solver/movement_libras_log_0.2.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/pc-sos-sdp/SDPNAL+/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  205|       -1|       0|        -inf|       17451|     0|       305|       5|      -3|      4594|       65      2847         0|       18107|      18107*|    -1     -1|    0.0362322|    0.0362322|     0|
|  205|        0|       1|       17451|     17458.1|     0|       148|       2|      -3|      3094|        0       135         0|     18119.9|       18107|   129    184|    0.0358372|    0.0358372|     0|
|  204|        0|       2|       17451|     17463.1|     0|       169|       2|      -3|      5722|      5.5      1268         0|       18107|       18107|   129    184|    0.0355633|    0.0355633|     0|
|  205|        1|       3|     17458.1|     17461.1|     0|       122|       1|      -3|      3094|        0       193         0|     18101.9|    18101.9*|     5     49|    0.0353973|    0.0353973|     0|
|  204|        1|       4|     17458.1|     17471.8|     0|       157|       2|      -3|      3164|        0     347.5         0|     18113.7|     18101.9|     5     49|    0.0348088|    0.0348088|     0|
|  204|        2|       5|     17463.1|     17465.6|     0|       194|       1|      -3|      5722|        0       307         0|       18107|     18101.9|     5    191|    0.0351514|    0.0351514|     0|
|  205|        3|       6|     17461.1|     17463.6|     0|       155|       1|      -3|      3094|        6      1541         0|     18118.7|     18101.9|     8    131|    0.0352576|    0.0352576|     0|
|  204|        3|       7|     17461.1|     17479.5|     0|       166|       2|      -3|      3206|        0       289         0|     17908.5|    17908.5*|     8    131|    0.0239582|    0.0239582|     0|
|  203|        2|       8|     17463.1|     17480.7|     0|       306|       3|      -3|      5474| 0.666667   414.333         0|     18125.4|     17908.5|     5    191|    0.0238876|    0.0238876|     0|
|  204|        4|       9|     17471.8|     17488.5|     0|       172|       1|      -3|      3164|        0       573         0|     18055.8|     17908.5|   177    188|     0.023456|     0.023456|     0|
|  205|        6|      10|     17463.6|     17466.2|     0|       165|       1|      -3|      3094|        0       567         0|     18118.7|     17908.5|     6    129|    0.0246964|    0.0246964|     0|
|  204|        7|      11|     17479.5|       17485|     0|       152|       1|      -3|      3206|        0       246         0|     17933.3|     17908.5|   193    200|    0.0236521|    0.0236521|     0|
|  203|        4|      12|     17471.8|     17483.2|     0|       305|       3|      -3|      5296|        4      1221         0|     18128.7|     17908.5|   177    188|     0.023751|     0.023751|     0|
|  204|        5|      13|     17465.6|     17467.8|     0|       349|       3|      -3|      5578|        0       153         0|     18133.6|     17908.5|     7    113|    0.0246097|    0.0246097|     0|
|  203|        9|      14|     17488.5|     17512.6|     0|       272|       2|      -3|      5252|        6    1774.5         0|     18132.4|     17908.5|   192    200|    0.0221105|    0.0221105|     0|
|  203|        5|      15|     17465.6|     17477.7|     0|       439|       4|      -3|      5171|        1     365.5         0|       18107|     17908.5|     7    113|    0.0240547|    0.0240547|     0|
|  203|        7|      16|     17479.5|     17503.1|     0|       359|       2|      -3|      4188|        3       805         0|     17908.5|     17908.5|   193    200|      0.02264|    0.0240547|     1|
|  204|        9|      17|     17488.5|     17494.5|     0|       362|       3|      -3|      3267| 0.666667       513         0|     18055.8|     17908.5|   192    200|    0.0231176|      0.02264|     2|
|  204|       11|      18|       17485|     17487.2|     0|       215|       1|      -3|      3206|        0       271         0|     18167.5|     17908.5|     5    130|    0.0235243|    0.0231176|     3|
|  202|        8|      19|     17480.7|     17509.9|     0|       450|       3|      -3|      4753|        0   415.333         0|     18125.3|     17908.5|   178    182|    0.0222584|    0.0235243|     4|
